Group 0;Group 1;Group 2;Group 3;Group 4;Group 5;Group 6;Group 7;Group 8;Group 9;Group 10
374,9028;443,614;554,2556;609,5098;754,0981;526,8124;552,6828;643,0672;601,3491;535,161;547,2052
222,4248;352,3715;512,0753;582,4574;669,7674;599,4468;496,1692;614,9637;341,6641;694,1056;689,3597
397,6786;600,5022;681,5245;469,8419;636,5752;672,4107;477,7295;591,7128;384,6141;681,8966;617,2438
391,0871;419,8671;605,6135;450,3084;616,1982;572,1292;393,2447;561,8765;414,0771;616,9236;662,2434
254,3913;448,6211;622,498;476,2939;637,6449;682,5511;504,8163;527,3139;402,9126;638,0298;664,3574
187,3491;620,3244;647,5038;478,0399;756,9881;448,4072;390,2689;528,6426;411,4601;564,6926;433,1345
510,3673;459,8043;558,0224;457,1457;722,3521;634,7489;500,2692;540,8664;367,3637;493,4651;650,9384
519,3166;612,9446;764,8963;632,134;556,7859;483,0261;651,9297;434,2739;442,1108;439,1129;624,4084
167,56;442,1726;614,5132;408,7575;590,2411;699,7074;566,2583;491,6742;581,9101;464,3645;607,3259
169,4395;612,9446;616,0662;507,0753;668,7446;514,1743;450,5443;355,0893;381,5485;412,1241;431,9431
354,6432;566,7056;602,5532;508,4491;665,419;617,3427;493,3539;481,0659;381,839;528,9946;613,0942
430,5694;468,3439;537,661;407,0369;712,0641;650,8784;425,4996;474,5517;415,0749;599,3272;596,7707
493,914;361,7663;580,282;395,5106;768,0899;519,3889;512,1268;453,4267;354,9974;436,6679;541,1103
168,6477;418,3397;617,5091;476,9235;659,3361;592,7151;435,8799;521,4254;503,2804;491,6649;648,0775
152,9044;399,7176;555,684;691,3992;662,1571;641,3009;422,3771;512,7773;459,9616;442,1254;704,34
159,6497;408,2636;640,7184;575,7818;540,4079;589,0537;589,8067;472,9071;521,5948;364,048;495,8141
125,8488;320,4528;592,4789;508,7246;549,2086;582,3733;594,6673;450,5146;523,635;366,7993;617,992
306,2321;380,5116;661,1562;481,6108;646,6581;559,6857;552,1113;416,2362;407,8236;460,6077;439,1921
264,5838;412,4456;671,3651;505,9255;575,0043;615,7696;486,0088;473,4931;416,578;471,6621;616,3689
465,3167;438,8744;384,0931;474,3659;615,2893;546,7399;445,6879;459,5067;303,9783;630,7389;680,7186
161,8742;437,9912;405,8663;503,3552;832,2639;504,0082;475,3358;423,0583;369,5282;413,2048;499,8306
190,3979;455,9355;477,8699;567,5381;604,6927;634,863;459,2831;641,683;459,6985;400,1261;686,1022
189,4433;564,5428;593,7713;634,6682;676,9119;593,2288;503,8892;439,9223;405,0131;420,0504;577,5054
186,7817;546,2395;621,0593;551,2517;580,2584;441,6767;537,0456;446,7725;404,7025;385,1001;588,4667
493,9235;470,1142;703,014;504,9177;724,8684;587,1719;672,6166;423,5156;411,6494;431,2999;387,4547
135,6477;373,9689;438,3005;565,9977;594,7388;591,7528;508,8065;410,3338;344,8549;449,1411;538,0476
418,0937;350,317;527,2904;483,1782;668,6109;605,8673;468,2363;386,9683;303,9285;473,6018;667,9685
159,7916;415,844;605,1264;401,4451;650,4553;575,997;499,5822;394,9996;407,1224;503,4031;551,8961
189,9775;443,8992;539,3661;486,9899;856,9486;648,3087;509,5774;444,8641;560,6258;535,5315;145,7704
497,9306;470,3524;506,777;516,4011;661,5255;630,7463;421,9061;480,0906;535,5993;480,7615;731,6687
266,3168;534,9045;518,9127;594,2824;693,7738;703,1365;475,1847;517,7731;487,8968;405,8925;678,7541
163,176;356,464;755,8946;601,058;702,5446;529,6766;549,3064;400,1499;418,1779;384,3036;650,1298
175,0249;432,1637;764,1386;569,8204;672,4966;654,9993;585,0218;412,8032;531,7;422,7714;560,6309
458,3639;433,4634;517,1663;563,4193;631,3423;524,1238;507,3653;460,7686;455,6849;416,2515;560,6874
404,7454;416,0598;490,5706;482,2825;500,3543;598,5047;562,1053;380,3992;385,112;359,8585;651,3324
302,3097;421,4063;464,2876;463,2603;763,4813;639,5305;460,1542;376,6777;508,9287;574,1038;519,2985
529,1293;326,6161;500,8963;473,2274;657,9515;651,1482;581,4644;480,5889;504,9011;754,0923;610,4032
300,7176;614,8341;514,0983;688,1716;542,1542;633,3358;464,2324;605,7959;522,4365;401,5255;564,2697
210,9904;452,8944;452,3123;685,0505;634,4732;588,8148;568,0595;512,3194;633,3341;455,3257;670,7148
187,6641;414,2381;641,5378;662,6705;813,2618;655,5714;753,7989;403,2762;455,602;428,8649;554,3666
163,876;445,1199;542,5441;581,9543;740,7861;576,4577;591,0529;434,6868;535,8209;436,6254;534,7455
185,6733;471,7145;562,9294;604,5823;729,1636;595,3995;592,013;491,0407;482,9007;443,6056;650,1938
;422,1167;556,347;566,9886;772,0207;494,0298;672,6221;405,7804;522,7249;450,6486;
;422,9528;418,4582;542,1088;;665,6179;533,4283;438,614;665,4698;539,6126;
;439,0312;354,2042;554,3097;;130,3449;532,1457;420,6521;;;
;;463,2887;460,1197;;638,7815;588,6564;553,6222;;;
;;584,1852;;;;;;;;
;;458,3643;;;;;;;;