Filename;Major Axis Length;Minor Axis Length;AR
Focused_mGast_bf_30092020.lif - Condition_5_A_10_cropped00.tif;640,8747;455,6933;1,406373
Focused_mGast_bf_30092020.lif - Condition_5_A_11_cropped00.tif;684,8325;417,8278;1,63903
Focused_mGast_bf_30092020.lif - Condition_5_A_12_cropped00.tif;617,8056;302,6833;2,041096
Focused_mGast_bf_30092020.lif - Condition_5_A_2_cropped00.tif;606,8208;483,1448;1,255981
Focused_mGast_bf_30092020.lif - Condition_5_A_3_cropped00.tif;710,0802;404,5094;1,755411
Focused_mGast_bf_30092020.lif - Condition_5_A_4_cropped00.tif;641,6221;458,5658;1,399193
Focused_mGast_bf_30092020.lif - Condition_5_A_5_cropped00.tif;586,9289;532,9114;1,101363
Focused_mGast_bf_30092020.lif - Condition_5_A_7_cropped00.tif;650,4146;475,7929;1,367012
Focused_mGast_bf_30092020.lif - Condition_5_A_8_cropped00.tif;628,1629;433,9434;1,447569
Focused_mGast_bf_30092020.lif - Condition_5_A_9_cropped00.tif;781,7466;366,0869;2,135413
Focused_mGast_bf_30092020.lif - Condition_5_B_10_cropped00.tif;658,8325;388,0298;1,697891
Focused_mGast_bf_30092020.lif - Condition_5_B_11_cropped00.tif;594,621;459,2475;1,294772
Focused_mGast_bf_30092020.lif - Condition_5_B_1_cropped00.tif;613,9073;391,2067;1,569266
Focused_mGast_bf_30092020.lif - Condition_5_B_2_cropped00.tif;546,9093;426,5023;1,282313
Focused_mGast_bf_30092020.lif - Condition_5_B_3_cropped00.tif;720,7231;437,1435;1,648711
Focused_mGast_bf_30092020.lif - Condition_5_B_4_cropped00.tif;603,1212;445,562;1,353619
Focused_mGast_bf_30092020.lif - Condition_5_B_5_cropped00.tif;28,96058;20,46101;1,415404
Focused_mGast_bf_30092020.lif - Condition_5_B_6_cropped00.tif;691,5822;394,4955;1,75308
Focused_mGast_bf_30092020.lif - Condition_5_B_8_cropped00.tif;474,4567;426,6879;1,111953
Focused_mGast_bf_30092020.lif - Condition_5_B_9_cropped00.tif;584,9503;472,1358;1,238945
Focused_mGast_bf_30092020.lif - Condition_5_C_10_cropped00.tif;669,3346;407,4701;1,64266
Focused_mGast_bf_30092020.lif - Condition_5_C_12_cropped00.tif;645,7947;499,9568;1,291701
Focused_mGast_bf_30092020.lif - Condition_5_C_1_cropped00.tif;715,3139;317,8163;2,250715
Focused_mGast_bf_30092020.lif - Condition_5_C_2_cropped00.tif;505,4196;464,5934;1,087875
Focused_mGast_bf_30092020.lif - Condition_5_C_3_cropped00.tif;546,4256;411,448;1,328055
Focused_mGast_bf_30092020.lif - Condition_5_C_4_cropped00.tif;713,9091;389,7611;1,831658
Focused_mGast_bf_30092020.lif - Condition_5_C_5_cropped00.tif;640,5622;363,8973;1,760283
Focused_mGast_bf_30092020.lif - Condition_5_C_6_cropped00.tif;545,5922;444,1455;1,228409
Focused_mGast_bf_30092020.lif - Condition_5_C_9_cropped00.tif;523,2805;407,2123;1,285031
Focused_mGast_bf_30092020.lif - Condition_5_D_10_cropped00.tif;584,1824;347,4309;1,681435
Focused_mGast_bf_30092020.lif - Condition_5_D_11_cropped00.tif;835,3269;396,3355;2,107626
Focused_mGast_bf_30092020.lif - Condition_5_D_12_cropped00.tif;581,5299;525,4278;1,106774
Focused_mGast_bf_30092020.lif - Condition_5_D_1_cropped00.tif;469,8367;382,0315;1,229837
Focused_mGast_bf_30092020.lif - Condition_5_D_2_cropped00.tif;516,4316;402,7742;1,282186
Focused_mGast_bf_30092020.lif - Condition_5_D_3_cropped00.tif;683,4485;339,0857;2,015563
Focused_mGast_bf_30092020.lif - Condition_5_D_4_cropped00.tif;588,4256;374,4813;1,571308
Focused_mGast_bf_30092020.lif - Condition_5_D_5_cropped00.tif;522,5713;420,6153;1,242397
Focused_mGast_bf_30092020.lif - Condition_5_D_6_cropped00.tif;486,8181;414,6283;1,174107
Focused_mGast_bf_30092020.lif - Condition_5_D_8_cropped00.tif;484,8044;415,3248;1,16729
Focused_mGast_bf_30092020.lif - Condition_5_D_9_cropped00.tif;570,0254;395,2443;1,44221
Focused_mGast_bf_30092020.lif - Condition_5_E_10_cropped00.tif;619,7498;366,2351;1,692219
Focused_mGast_bf_30092020.lif - Condition_5_E_11_cropped00.tif;705,8083;362,0564;1,949443
Focused_mGast_bf_30092020.lif - Condition_5_E_2_cropped00.tif;544,9894;420,4203;1,296296
Focused_mGast_bf_30092020.lif - Condition_5_E_4_cropped00.tif;556,3915;325,0558;1,71168
Focused_mGast_bf_30092020.lif - Condition_5_E_5_cropped00.tif;484,8168;430,1499;1,127088
Focused_mGast_bf_30092020.lif - Condition_5_E_6_cropped00.tif;704,9809;330,2432;2,134732
Focused_mGast_bf_30092020.lif - Condition_5_E_9_cropped00.tif;606,1632;367,3789;1,649967
Focused_mGast_bf_30092020.lif - Condition_5_F_10_cropped00.tif;590,6046;417,3971;1,414971
Focused_mGast_bf_30092020.lif - Condition_5_F_11_cropped00.tif;588,9655;393,2571;1,49766
Focused_mGast_bf_30092020.lif - Condition_5_F_12_cropped00.tif;743,3021;409,9489;1,813158
Focused_mGast_bf_30092020.lif - Condition_5_F_1_cropped00.tif;570,4211;449,5431;1,268891
Focused_mGast_bf_30092020.lif - Condition_5_F_2_cropped00.tif;630,6544;387,1205;1,629091
Focused_mGast_bf_30092020.lif - Condition_5_F_3_cropped00.tif;542,9984;426,6755;1,272626
Focused_mGast_bf_30092020.lif - Condition_5_F_4_cropped00.tif;476,5719;424,2494;1,12333
Focused_mGast_bf_30092020.lif - Condition_5_F_5_cropped00.tif;517,9276;424,9649;1,218754
Focused_mGast_bf_30092020.lif - Condition_5_F_6_cropped00.tif;729,7706;314,2957;2,321924
Focused_mGast_bf_30092020.lif - Condition_5_F_8_cropped00.tif;614,9528;375,8821;1,636026
Focused_mGast_bf_30092020.lif - Condition_5_F_9_cropped00.tif;592,9059;419,5985;1,413032
Focused_mGast_bf_30092020.lif - Condition_5_G_10_cropped00.tif;635,2172;277,1418;2,292029
Focused_mGast_bf_30092020.lif - Condition_5_G_11_cropped00.tif;546,0458;533,3477;1,023808
Focused_mGast_bf_30092020.lif - Condition_5_G_12_cropped00.tif;676,7794;439,6223;1,539457
Focused_mGast_bf_30092020.lif - Condition_5_G_2_cropped00.tif;691,0523;355,3554;1,944679
Focused_mGast_bf_30092020.lif - Condition_5_G_3_cropped00.tif;652,3393;417,2819;1,563306
Focused_mGast_bf_30092020.lif - Condition_5_G_4_cropped00.tif;496,5793;372,5375;1,332965
Focused_mGast_bf_30092020.lif - Condition_5_G_5_cropped00.tif;546,8568;377,7834;1,44754
Focused_mGast_bf_30092020.lif - Condition_5_G_6_cropped00.tif;513,0009;437,3421;1,172997
Focused_mGast_bf_30092020.lif - Condition_5_G_8_cropped00.tif;541,7864;378,3939;1,431805
Focused_mGast_bf_30092020.lif - Condition_5_G_9_cropped00.tif;555,1843;382,7672;1,450449
Focused_mGast_bf_30092020.lif - Condition_5_H_10_cropped00.tif;630,2935;405,3738;1,554845
Focused_mGast_bf_30092020.lif - Condition_5_H_11_cropped00.tif;614,0484;496,7163;1,236216
Focused_mGast_bf_30092020.lif - Condition_5_H_1_cropped00.tif;672,8356;460,2292;1,461958
Focused_mGast_bf_30092020.lif - Condition_5_H_2_cropped00.tif;605,5435;440,4382;1,374866
Focused_mGast_bf_30092020.lif - Condition_5_H_3_cropped00.tif;670,33;499,5525;1,341861
Focused_mGast_bf_30092020.lif - Condition_5_H_4_cropped00.tif;787,9791;434,4839;1,813598
Focused_mGast_bf_30092020.lif - Condition_5_H_5_cropped00.tif;654,4067;526,7295;1,242396
Focused_mGast_bf_30092020.lif - Condition_5_H_6_cropped00.tif;645,9583;436,2493;1,480709
Focused_mGast_bf_30092020.lif - Condition_5_H_9_cropped00.tif;623,6646;417,7568;1,492889